table_name,rls_enabled
admin_logs,true
admin_logs_pkey,false
attendance_records,true
attendance_records_pkey,false
attendance_records_session_id_class_member_id_key,false
attendance_sessions,true
attendance_sessions_class_id_subject_id_date_selected_batch_key,false
attendance_sessions_local_id_key,false
attendance_sessions_pkey,false
class_groups,true
class_groups_branch_year_semester_section_key,false
class_groups_pkey,false
class_members,true
class_members_class_id_roll_number_key,false
class_members_pkey,false
idx_class_members_class_id,false
idx_class_members_roll,false
idx_class_members_user_id,false
idx_one_cr_per_class,false
idx_one_lr_per_class,false
idx_records_member_id,false
idx_records_session_id,false
idx_role_transfers_class,false
idx_role_transfers_status,false
idx_role_transfers_to_user,false
idx_sessions_class_id,false
idx_sessions_date,false
idx_sessions_subject_id,false
idx_subjects_class_id,false
idx_sync_logs_status,false
lab_batches,true
lab_batches_pkey,false
lab_batches_subject_id_batch_name_key,false
role_transfers,true
role_transfers_pkey,false
subjects,true
subjects_pkey,false
sync_logs,true
sync_logs_idempotency_key_key,false
sync_logs_pkey,false
unique_session,false
users,true
users_email_key,false
users_pkey,false
