table_name,total_size
users,248 kB
attendance_records,216 kB
refresh_tokens,160 kB
class_members,144 kB
attendance_sessions,128 kB
sessions,112 kB
one_time_tokens,112 kB
identities,80 kB
users,80 kB
role_transfers,72 kB
mfa_amr_claims,64 kB
custom_oauth_providers,56 kB
mfa_factors,56 kB
objects,48 kB
subjects,48 kB
class_groups,48 kB
lab_batches,48 kB
oauth_consents,48 kB
saml_relay_states,40 kB
flow_state,40 kB
migrations,40 kB
oauth_authorizations,40 kB
sync_logs,32 kB
subscription,32 kB
webauthn_credentials,32 kB
webauthn_challenges,32 kB
sso_providers,32 kB
sso_domains,32 kB
saml_providers,32 kB
audit_log_entries,24 kB
schema_migrations,24 kB
oauth_client_states,24 kB
mfa_challenges,24 kB
secrets,24 kB
oauth_clients,24 kB
schema_migrations,24 kB
s3_multipart_uploads,24 kB
vector_indexes,24 kB
buckets_analytics,24 kB
buckets,24 kB
s3_multipart_uploads_parts,16 kB
instances,16 kB
buckets_vectors,16 kB
admin_logs,16 kB
