
and for error debugging this is the data i got from the supabase so it would be usefull 
| grantor  | grantee       | table_catalog | table_schema | table_name          | privilege_type | is_grantable | with_hierarchy |
| -------- | ------------- | ------------- | ------------ | ------------------- | -------------- | ------------ | -------------- |
| postgres | postgres      | postgres      | public       | class_groups        | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_groups        | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | class_groups        | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_groups        | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_groups        | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_groups        | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_groups        | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | class_groups        | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | class_groups        | SELECT         | NO           | YES            |
| postgres | anon          | postgres      | public       | class_groups        | UPDATE         | NO           | NO             |
| postgres | anon          | postgres      | public       | class_groups        | DELETE         | NO           | NO             |
| postgres | anon          | postgres      | public       | class_groups        | TRUNCATE       | NO           | NO             |
| postgres | anon          | postgres      | public       | class_groups        | REFERENCES     | NO           | NO             |
| postgres | anon          | postgres      | public       | class_groups        | TRIGGER        | NO           | NO             |
| postgres | authenticated | postgres      | public       | class_groups        | INSERT         | NO           | NO             |
| postgres | authenticated | postgres      | public       | class_groups        | SELECT         | NO           | YES            |
| postgres | authenticated | postgres      | public       | class_groups        | UPDATE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | class_groups        | DELETE         | NO           | NO             |
| postgres | authenticated | postgres      | public       | class_groups        | TRUNCATE       | NO           | NO             |
| postgres | authenticated | postgres      | public       | class_groups        | REFERENCES     | NO           | NO             |
| postgres | authenticated | postgres      | public       | class_groups        | TRIGGER        | NO           | NO             |
| postgres | service_role  | postgres      | public       | class_groups        | INSERT         | NO           | NO             |
| postgres | service_role  | postgres      | public       | class_groups        | SELECT         | NO           | YES            |
| postgres | service_role  | postgres      | public       | class_groups        | UPDATE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | class_groups        | DELETE         | NO           | NO             |
| postgres | service_role  | postgres      | public       | class_groups        | TRUNCATE       | NO           | NO             |
| postgres | service_role  | postgres      | public       | class_groups        | REFERENCES     | NO           | NO             |
| postgres | service_role  | postgres      | public       | class_groups        | TRIGGER        | NO           | NO             |
| postgres | postgres      | postgres      | public       | class_members       | INSERT         | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_members       | SELECT         | YES          | YES            |
| postgres | postgres      | postgres      | public       | class_members       | UPDATE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_members       | DELETE         | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_members       | TRUNCATE       | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_members       | REFERENCES     | YES          | NO             |
| postgres | postgres      | postgres      | public       | class_members       | TRIGGER        | YES          | NO             |
| postgres | anon          | postgres      | public       | class_members       | INSERT         | NO           | NO             |
| postgres | anon          | postgres      | public       | class_members       | SELECT         | NO           | YES            |
